Timestamp,LOSindex,Distance,RWS,DRWS,CNR,Tilt,Roll,RWSStatus,OverrunStatus
2020-09-03T19:12:18.547+00:00,3,178,2.77,1.13,-5.08,5,0.02,1,1
2020-09-03T19:12:22.547+00:00,3,178,2.51,1.25,-4.83,5.02,0.02,1,1
2020-09-03T19:12:26.547+00:00,3,178,3.57,1.27,-5.12,5.05,0,1,1
2020-09-03T19:12:30.547+00:00,3,178,3.89,1.18,-4.99,4.96,0.02,1,1
2020-09-03T19:12:34.546+00:00,3,178,2.15,1.3,-5.44,4.99,-0.01,1,1
2020-09-03T19:12:38.547+00:00,3,178,2.04,1.3,-5.51,5.07,0,1,1
2020-09-03T19:12:42.547+00:00,3,178,3.14,1.46,-5.33,4.97,-0.01,1,1
2020-09-03T19:12:46.547+00:00,3,178,2.82,1.18,-5.25,4.95,-0.03,1,1
2020-09-03T19:12:50.546+00:00,3,178,3.75,1.32,-5.3,5.01,-0.07,1,1
2020-09-03T19:12:54.547+00:00,3,178,4.12,1.22,-5.31,4.99,0,1,1
2020-09-03T19:12:58.547+00:00,3,178,3.49,1.46,-5.66,4.99,0.01,1,1
2020-09-03T19:13:02.546+00:00,3,178,4.12,1.18,-5.41,4.99,-0.01,1,1
2020-09-03T19:13:06.547+00:00,3,178,2.85,1.19,-5.68,5.02,-0.03,1,1
2020-09-03T19:13:10.547+00:00,3,178,3.66,1.3,-5.96,5.01,0,1,1
2020-09-03T19:13:14.546+00:00,3,178,4.02,1.32,-5.99,4.99,-0.01,1,1
2020-09-03T19:13:18.547+00:00,3,178,3.45,1.25,-5.82,5.01,-0.03,1,1
2020-09-03T19:13:22.547+00:00,3,178,4.46,1.15,-5.81,5.01,-0.02,1,1
2020-09-03T19:13:26.547+00:00,3,178,4.11,1.15,-5.82,4.99,-0.01,1,1
2020-09-03T19:13:30.546+00:00,3,178,3.65,1.18,-5.95,4.96,-0.02,1,1
2020-09-03T19:13:34.547+00:00,3,178,3.13,1.08,-5.65,4.99,-0.03,1,1
2020-09-03T19:13:38.547+00:00,3,178,4.02,1.15,-5.83,5.01,0.01,1,1
2020-09-03T19:13:42.547+00:00,3,178,5.06,1.22,-6.12,5.03,0,1,1
2020-09-03T19:13:46.547+00:00,3,178,5.27,1.22,-6.09,5.03,-0.03,1,1
2020-09-03T19:13:50.546+00:00,3,178,3.52,1.27,-6.46,4.97,0,1,1
2020-09-03T19:13:54.547+00:00,3,178,3.57,1.32,-6.75,4.98,0.01,1,1
2020-09-03T19:13:58.546+00:00,3,178,3.74,1.22,-6.75,5.02,-0.03,1,1
2020-09-03T19:14:02.546+00:00,3,178,3.95,1.23,-5.28,5.04,-0.02,1,1
2020-09-03T19:14:06.547+00:00,3,178,3.43,1.32,-5.41,4.97,-0.01,1,1
2020-09-03T19:14:10.547+00:00,3,178,5.25,1.27,-5.58,4.99,-0.03,1,1
2020-09-03T19:14:14.547+00:00,3,178,4.98,1.19,-5.68,5.02,-0.03,1,1
2020-09-03T19:14:18.546+00:00,3,178,4.59,1.2,-6.05,4.99,-0.03,1,1
2020-09-03T19:14:22.547+00:00,3,178,5.53,1.18,-6.45,4.97,0,1,1
2020-09-03T19:14:26.547+00:00,3,178,5.32,1.15,-6.22,5,-0.02,1,1
2020-09-03T19:14:30.546+00:00,3,178,5.03,1.15,-6.4,5.01,0,1,1
2020-09-03T19:14:34.547+00:00,3,178,5.92,1.08,-6.45,4.98,0.02,1,1
2020-09-03T19:14:38.546+00:00,3,178,5.33,1.1,-6.72,5,-0.02,1,1
2020-09-03T19:14:42.546+00:00,3,178,6.05,1.13,-6.64,4.99,-0.03,1,1
2020-09-03T19:14:46.547+00:00,3,178,5.94,1.15,-6.61,5.02,-0.02,1,1
2020-09-03T19:14:50.547+00:00,3,178,5.75,1.13,-6.63,5.01,-0.01,1,1
2020-09-03T19:14:54.547+00:00,3,178,4.41,1.18,-6.98,4.99,-0.01,1,1
2020-09-03T19:14:58.546+00:00,3,178,3.4,1.32,-6.99,5.03,-0.06,1,1
2020-09-03T19:15:02.546+00:00,3,178,3.09,1.46,-5.68,5.03,-0.08,1,1
2020-09-03T19:15:06.547+00:00,3,178,3.13,1.41,-5.64,4.99,0.04,1,1
2020-09-03T19:15:10.547+00:00,3,178,3.9,1.13,-4.38,5,-0.05,1,1
